,rxn,real_molrank,energy_molrank,max_rate
2178,s21 + s6 = s13 + s3,3.3282457443002776e-24,2.242888787069938e-36,8.305717029157596e-25
2179,s16 + s19 = s8 + s9,0.0007112700467928144,6.619893477070938e-10,2.190283449305582e-05
2180,s21 + s5 = s16 + s19,0.0007170735813099956,0.024185687584434967,4.7337027615415966e-15
2181,s10 + s21 = s15 + s7,4.797262031845472e-48,1.1353223033701894e-60,2.6054329741641343e-56
2182,s1 + s14 = s16 + s3,0.04015269111223952,0.024189558445743213,1.121453326019425e-15
2183,s22 + s25 = s15 + s24,0.17733674192591592,0.0036105917032624502,5.47858854022073e-17
2184,s2 + s24 = s15 + s16,5199237277713.824,0.0005168346067542471,0.03356571122238764
2185,s16 + s8 = s17 + s3,0.02257455824279933,3.507520939124398e-17,1.8203931740037512e-08
2186,s7 + s9 = s17 + s20,2.047672456515493e-09,0.0014291258309760565,1.4542873641925238e-29
2187,s18 + s5 = s14 + s22,2.7222769574843717e-16,2.317860930478752e-13,2.1364067534354467e-33
2188,s21 + s9 = s18 + s22,6.779465525374761e-12,1.508768570924459e-16,4.076096412611023e-17
2189,s4 + s9 = s13 + s14,1.0962692783047665e-07,0.007620593004097223,7.982754960415819e-14
2190,s16 + s9 = s21 + s5,0.03906823137871709,4.13091653083619e-09,1.1825091027856438e-07
2191,s14 + s18 = s15 + s22,2.732873094681868e-46,1.2050009788690062e-50,5.817095650988613e-52
2192,s1 + s15 = s16 + s20,9.007126344226153e-07,0.00463012821740163,4.1999851843718023e-29
2193,s12 + s2 = s23 + s5,1.0055518670102066e-51,4.845278935924006e-65,4.834391313870464e-75
2194,s10 + s2 = s23 + s3,4.316625503243241e-05,9.978330808909125e-20,2.675118715989268e-19
2195,s24 + s4 = s15 + s19,1.2836021326850818e-25,7.445962071215956e-26,1.0825303389601097e-31
2196,s16 + s4 = s24 + s5,3.618388273100051e-32,4.508364675279456e-50,1.899947193234961e-33
2197,s17 + s21 = s16 + s24,2.3841370809130452e-07,1.6455155226864915e-11,1.492429282647142e-11
2198,s10 + s4 = s19 + s24,1.9936732436242484e-19,4.047626016767031e-28,1.2717537456796153e-30
2199,s20 + s24 = s15 + s18,0.0003944831141997438,0.026649090645364852,1.2521382142443902e-20
2200,s2 + s6 = s1 + s8,3.183922909631194e-36,7.02632112805848e-54,9.644594290317235e-46
2201,s12 + s20 = s24 + s6,5.247815161288843,0.0008138697237745192,5.784064369854379e-24
2202,s6 + s8 = s14 + s16,3.7976367736681485e-15,3.787191621885892e-23,6.081428061478666e-21
2203,s6 + s9 = s18 + s24,2.599693468767998e-21,5.478211451275496e-24,5.461004198211364e-27
2204,s2 + s6 = s15 + s21,1.1550624706709694e-31,2.2145744360291402e-42,3.4988626376269123e-41
2205,s12 + s17 = s18 + s19,2.6259020849493566e-20,3.468690892298517e-23,6.2524122174123535e-37
2206,s16 + s18 = s22 + s3,5.9979316367046e-21,4.19390763620682e-37,1.3859503714259285e-25
2207,s2 + s5 = s11 + s16,5.6664929814285034e-05,0.00022108594367229383,1.8185397906773096e-33
2208,s24 + s9 = s16 + s8,0.011983919429157065,0.03428484289827595,5.341186467826425e-13
2209,s25 + s9 = s14 + s24,12673275479.801527,0.00036415835832863543,1.4447249405539689e-09
2210,s12 + s7 = s16 + s2,716173664.2331196,0.00014710293106999874,8.956494343552078e-20
2211,s2 + s7 = s14 + s19,333668.04173884116,0.002071899402882116,2.3762703313549765e-26
2212,s15 + s9 = s24 + s3,432.7344350774066,0.01054009782853675,2.85731415347799e-13
2213,s18 + s19 = s13 + s16,3615695834.656419,0.03704047501903471,3.118399875088248
2214,s1 + s12 = s13 + s22,9.460405901065655e-13,1.7104988180960215e-21,1.0498245181698668e-38
2215,s18 + s9 = s13 + s14,1690391416411.5208,0.024883615970386404,12.300728519438257
2216,s2 + s9 = s11 + s21,1.6720281473419292e-07,1.2747506921893994e-11,5.063828322336817e-31
2217,s1 + s7 = s11 + s15,3.4198145028809397e-13,0.0006277964345173839,6.863032450684998e-41
